TWEET	EMOJI	LANGUAGE
584		fr
585		fr
586		fr
587		fr
588		fr
589		fr
590	face with tears of joy	fr
590	face with tears of joy	fr
590	face with tears of joy	fr
590	face with tears of joy	fr
590	face with tears of joy	fr
591		fr
592	grimacing face	fr
592	person gesturing NO	fr
592	female sign	fr
592	person gesturing NO	fr
592	female sign	fr
593		fr
594		fr
595		fr
596		fr
597		fr
598		fr
599		fr
600		fr
601		fr
602		fr
603		fr
604		fr
605		fr
606		fr
607		fr
608		fr
609	face with tears of joy	fr
609	smirking face	fr
610		fr
611		fr
612		fr
613		fr
614		fr
615		fr
616		fr
617		fr
618		fr
619		fr
620		fr
621		fr
622		fr
623		fr
624	smiling face with heart-eyes	fr
624	kissing face with closed eyes	fr
625	fire	fr
625	fire	fr
625	fire	fr
625	fire	fr
625	OK hand	fr
625	smiling face with heart-eyes	fr
625	basketball	fr
626		fr
627		fr
628		fr
629		fr
630	face with tears of joy	fr
631	person facepalming	fr
631	male sign	fr
632		fr
633		fr
634		fr
635		fr
636		fr
637		fr
638	unamused face	fr
639		fr
640		fr
641		fr
642		fr
643		fr
644	face with tears of joy	fr
645		fr
646		fr
647	flexed biceps	fr
648	face with tears of joy	fr
649		fr
650		fr
651		fr
652		fr
653	face with tears of joy	fr
653	face with tears of joy	fr
654		fr
655		fr
656		fr
657	blue heart	fr
657	purple heart	fr
658		fr
659		fr
660	face with tears of joy	fr
660	face with tears of joy	fr
660	face with tears of joy	fr
661		fr
662		fr
663		fr
664		fr
665		fr
666		fr
667		fr
668		fr
669		fr
670		fr
671		fr
672	grinning face	fr
673		fr
674		fr
675		fr
676		fr
677		fr
678		fr
679	sign of the horns	fr
679	smiling face with smiling eyes	fr
680		fr
681		fr
682	beaming face with smiling eyes	fr
682	face blowing a kiss	fr
683		fr
684		fr
685		fr
686	loudly crying face	fr
686	loudly crying face	fr
686	loudly crying face	fr
687		fr
688		fr
689		fr
690		fr
691		fr
692	face with rolling eyes	fr
693		fr
694		fr
695		fr
696		fr
697		fr
698	woman dancing	fr
698	woman dancing	fr
699		fr
700		fr
701	red heart	fr
701	red heart	fr
702		fr
703		fr
704		fr
705		fr
706		fr
707		fr
708	two hearts	fr
709		fr
710		fr
711		fr
712		fr
713		fr
714	persevering face	fr
715		fr
716		fr
717		fr
718		fr
719		fr
720		fr
721		fr
722		fr
723	face with tears of joy	fr
723	face with tears of joy	fr
723	face with tears of joy	fr
723	face with tears of joy	fr
723	face with tears of joy	fr
723	face with tears of joy	fr
724		fr
725		fr
726		fr
727		fr
728		fr
729		fr
730		fr
731	soccer ball	fr
732		fr
733	smiling face	fr
734		fr
735		fr
736		fr
737	person shrugging	fr
738		fr
739		fr
740		fr
741		fr
742		fr
743		fr
744		fr
745		fr
746		fr
747		fr
748		fr
749		fr
750		fr
751	loudly crying face	fr
752		fr
753		fr
754		fr
755		fr
756		fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
757	face with tears of joy	fr
758		fr
759		fr
760		fr
761		fr
762		fr
763		fr
764		fr
765		fr
766		fr
767		fr
768		fr
769		fr
770		fr
771		fr
772		fr
773		fr
774		fr
775		fr
776		fr
777		fr
778		fr
779		fr
780	right arrow	fr
780	heavy check mark	fr
781		fr
782		fr
783		fr
784		fr
785		fr
786		fr
787		fr
788		fr
789		fr
790	OK hand	fr
791		fr
792		fr
793	basketball	fr
793	joker	fr
793	red heart	fr
794	SOS button	fr
794	SOS button	fr
794	SOS button	fr
795		fr
796		fr
797	grinning face with sweat	fr
797	grinning face with sweat	fr
798		fr
799		fr
800		fr
801		fr
802		fr
803		fr
804		fr
805		fr
806	face with tears of joy	fr
806	face with tears of joy	fr
806	face with tears of joy	fr
807		fr
808	face with tears of joy	fr
808	face with tears of joy	fr
809		fr
810		fr
811		fr
812		fr
813	flexed biceps	fr
814		fr
815		fr
816		fr
817		fr
818		fr
819		fr
820		fr
821		fr
822		fr
823	fox face	fr
824		fr
825	loudly crying face	fr
825	loudly crying face	fr
825	red heart	fr
825	red heart	fr
825	red heart	fr
825	red heart	fr
826		fr
827		fr
828		fr
829		fr
830		fr
831		fr
832		fr
833		fr
834		fr
835		fr
836		fr
837		fr
838		fr
839		fr
840	fire	fr
841		fr
842		fr
843		fr
844	smiling face with heart-eyes	fr
845	drooling face	fr
846		fr
847		fr
848		fr
849		fr
850		fr
851		fr
852		fr
853		fr
854	cat face with tears of joy	fr
854	cat face with tears of joy	fr
854	cat face with tears of joy	fr
855		fr
856		fr
857	face with tears of joy	fr
857	face with tears of joy	fr
858		fr
859		fr
860		fr
861		fr
862		fr
863		fr
864	face with tears of joy	fr
865		fr
866		fr
867		fr
868		fr
869		fr
870	face with tears of joy	fr
870	red heart	fr
871		fr
872		fr
873		fr
874		fr
875		fr
876		fr
877		fr
878		fr
879		fr
880		fr
881		fr
882		fr
883		fr
884		fr
885		fr
886		fr
887		fr
888	up-right arrow	fr
889		fr
890		fr
891		fr
892		fr
893		fr
894		fr
895		fr
896	soccer ball	fr
897		fr
898		fr
899		fr
900		fr
901		fr
902	face savoring food	fr
903		fr
904	winking face	fr
905		fr
906		fr
907		fr
908		fr
909	thumbs up	fr
909	thumbs up	fr
909	oncoming fist	fr
910		fr
911	face with tears of joy	fr
911	face with tears of joy	fr
912		fr
913		fr
914		fr
915		fr
916		fr
917		fr
918	sleepy face	fr
919		fr
920		fr
921		fr
922		fr
923		fr
924		fr
925	smiling face with heart-eyes	fr
925	red heart	fr
926	smiling face with heart-eyes	fr
927		fr
928		fr
929		fr
930	beaming face with smiling eyes	fr
931		fr
932		fr
933	face with tears of joy	fr
934	thumbs up	fr
934	thumbs up	fr
935		fr
936		fr
937	pensive face	fr
938		fr
939		fr
940		fr
941	frowning face	fr
942		fr
943		fr
944		fr
945		fr
946	smiling face with heart-eyes	fr
947		fr
948		fr
949		fr
950		fr
951		fr
952		fr
953		fr
954		fr
955		fr
956		fr
957		fr
958	two hearts	fr
959		fr
960		fr
961		fr
962		fr
963		fr
964		fr
965		fr
966		fr
967		fr
968		fr
969		fr
970		fr
971		fr
972		fr
973		fr
974		fr
975		fr
976		fr
977		fr
978		fr
979		fr
980		fr
981		fr
982		fr
983		fr
984		fr
985	winking face	fr
985	evergreen tree	fr
986		fr
987		fr
988		fr
989		fr
990		fr
991		fr
992		fr
993	party popper	fr
994		fr
995		fr
996		fr
997		fr
998	sad but relieved face	fr
998	sad but relieved face	fr
999	loudly crying face	fr
999	loudly crying face	fr
1000		fr
1001		fr
1002		fr
1003		fr
1004		fr
1005		fr
1006		fr
1007		fr
1008		fr
1009		fr
1010		fr
1011		fr
1012		fr
1013		fr
1014		fr
1015		fr
1016		fr
1017	face screaming in fear	fr
1018		fr
1019		fr
1020		fr
1021		fr
1022		fr
1023	face with tears of joy	fr
1023	face with tears of joy	fr
1023	face with tears of joy	fr
1023	face with tears of joy	fr
1024		fr
1025		fr
1026	high voltage	fr
1026	red heart	fr
1026	latin cross	fr
1026	smiling face with heart-eyes	fr
1027		fr
1028		fr
1029		fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1030	face with tears of joy	fr
1031		fr
1032		fr
1033		fr
1034		fr
1035		fr
1036	eyes	fr
1036	OK hand	fr
1037		fr
1038		fr
1039		fr
1040	smiling face with sunglasses	fr
1040	smiling face with sunglasses	fr
1041		fr
1042	face blowing a kiss	fr
1042	face blowing a kiss	fr
1043		fr
1044	person getting massage	fr
